Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011]
Afghanistan,AFG,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..
Albania,ALB,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,25.0132683757914
Algeria,DZA,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,13.0004085519199
American Samoa,ASM,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..
Angola,AGO,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,48.7876594089643
Anguilla,AIA,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.62837715353683
Antigua and Barbuda,ATG,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.03884752762075
Argentina,ARG,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..
Armenia,ARM,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,80.4496824880375
Aruba,ABW,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.812593950171482
Australia,AUS,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.54998757653038
Austria,AUT,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.748113167888425
Azerbaijan,AZE,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.169286099773361
"Bahamas, The",BHS,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.758905215570144
Bahrain,BHR,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.216150013973144
Bangladesh,BGD,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,10.6456212608689
Barbados,BRB,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.3656197879258
Belarus,BLR,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,849.825493294714
Belgium,BEL,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.733836926725805
Belize,BLZ,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.845755325197816
Benin,BEN,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,121.413353384554
Bermuda,BMU,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.23631762386225
Bhutan,BTN,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,8.94259581281647
Bolivia,BOL,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.78542783165666
Bonaire,BON,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..
Bosnia and Herzegovina,BIH,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.594142917624205
Botswana,BWA,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.26488573206145
Brazil,BRA,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.882323618692179
Brunei Darussalam,BRN,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.545789785718417
Bulgaria,BGR,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.32988475677808
Burkina Faso,BFA,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,118.447421941788
Burundi,BDI,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,172.356140706976
Cabo Verde,CPV,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,25.8489361477512
Cambodia,KHM,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,515.098208837644
Cameroon,CMR,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,156.911447447764
Canada,CAN,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.19168477673302
Cayman Islands,CYM,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.906043597843166
Central African Republic,CAF,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,125.804121545343
Chad,TCD,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,122.504635095164
Chile,CHL,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,277.772617170432
China,CHN,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.02628478229175
Colombia,COL,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,863.860905156132
Comoros,COM,PPPs (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,105.985955722703
