date,series_id,value,realtime_start,realtime_end
1954-10-01,CPIAUCSL,26.72,2024-05-15,2024-05-15
1954-11-01,CPIAUCSL,26.78,2024-05-15,2024-05-15
1954-12-01,CPIAUCSL,26.77,2024-05-15,2024-05-15
1955-01-01,CPIAUCSL,26.77,2024-05-15,2024-05-15
1955-02-01,CPIAUCSL,26.82,2024-05-15,2024-05-15
1955-03-01,CPIAUCSL,26.79,2024-05-15,2024-05-15
1955-04-01,CPIAUCSL,26.79,2024-05-15,2024-05-15
1955-05-01,CPIAUCSL,26.77,2024-05-15,2024-05-15
1955-06-01,CPIAUCSL,26.71,2024-05-15,2024-05-15
1955-07-01,CPIAUCSL,26.76,2024-05-15,2024-05-15
1955-08-01,CPIAUCSL,26.72,2024-05-15,2024-05-15
1955-09-01,CPIAUCSL,26.85,2024-05-15,2024-05-15
1955-10-01,CPIAUCSL,26.82,2024-05-15,2024-05-15
1955-11-01,CPIAUCSL,26.88,2024-05-15,2024-05-15
1955-12-01,CPIAUCSL,26.87,2024-05-15,2024-05-15
1956-01-01,CPIAUCSL,26.83,2024-05-15,2024-05-15
1956-02-01,CPIAUCSL,26.86,2024-05-15,2024-05-15
1956-03-01,CPIAUCSL,26.89,2024-05-15,2024-05-15
1956-04-01,CPIAUCSL,26.93,2024-05-15,2024-05-15
1956-05-01,CPIAUCSL,27.03,2024-05-15,2024-05-15
1956-06-01,CPIAUCSL,27.15,2024-05-15,2024-05-15
1956-07-01,CPIAUCSL,27.29,2024-05-15,2024-05-15
1956-08-01,CPIAUCSL,27.31,2024-05-15,2024-05-15
1956-09-01,CPIAUCSL,27.35,2024-05-15,2024-05-15
1956-10-01,CPIAUCSL,27.51,2024-05-15,2024-05-15
1956-11-01,CPIAUCSL,27.51,2024-05-15,2024-05-15
1956-12-01,CPIAUCSL,27.63,2024-05-15,2024-05-15
1957-01-01,CPIAUCSL,27.67,2024-05-15,2024-05-15
1957-02-01,CPIAUCSL,27.8,2024-05-15,2024-05-15
1957-03-01,CPIAUCSL,27.86,2024-05-15,2024-05-15
1957-04-01,CPIAUCSL,27.93,2024-05-15,2024-05-15
1957-05-01,CPIAUCSL,28,2024-05-15,2024-05-15
1957-06-01,CPIAUCSL,28.11,2024-05-15,2024-05-15
