Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Congo, Rep.",COG,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,51.5146025264903,..,..,..,..,..,54.2513161414154
Cook Islands,COK,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Costa Rica,CRI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,109.116512774973,..,..,..,..,..,131.921352404167
C�te d'Ivoire,CIV,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,37.9879131784636,..,..,..,..,..,62.7238899657101
Croatia,HRV,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,76.3733527358256,..,..,..,..,..,58.0807773190716
Cuba,CUB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Cura�ao,CUW,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,73.9522757877457,..,..,..,..,..,83.8617424792616
Cyprus,CYP,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,126.69303875195,..,..,..,..,..,109.911852318535
Czech Republic,CZE,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,72.633775155396,..,..,..,..,..,46.5401148927815
Denmark,DNK,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,176.693612885189,..,..,..,..,..,147.829203604115
Djibouti,DJI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,63.1147983785118,..,..,..,..,..,78.9746672342776
Dominica,DMA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,73.3676746385523,..,..,..,..,..,74.9197230691
Dominican Republic,DOM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,52.16242612196,..,..,..,..,..,56.6157323594639
East Asia & Pacific (ICP),EAB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,73.9139721662726,..,..,..,..,..,73.8178530339231
Ecuador,ECU,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,52.3603833498909,..,..,..,..,..,67.8768444986963
"Egypt, Arab Rep.",EGY,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,22.9765900271178,..,..,..,..,..,18.608279916135
El Salvador,SLV,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,54.9710944663452,..,..,..,..,..,59.6800255739797
Equatorial Guinea,GNQ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,53.3007981650585,..,..,..,..,..,57.4639818165511
Eritrea,ERI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Estonia,EST,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,67.4889658799252,..,..,..,..,..,71.7984965941954
Eswatini,SWZ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,44.0814953517259,..,..,..,..,..,73.3067604967229
Ethiopia,ETH,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,22.262275101194,..,..,..,..,..,29.8416618476772
Europe & Central Asia (ICP),ECB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,115.433549293942,..,..,..,..,..,93.512360931039
Fiji,FJI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,57.336073980295,..,..,..,..,..,49.0265462326591
Finland,FIN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,156.698358618199,..,..,..,..,..,150.05151862247
France,FRA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,146.510998198322,..,..,..,..,..,109.688396311481
French Polynesia,PYF,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Gabon,GAB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,65.5203593067495,..,..,..,..,..,64.9153932614212
"Gambia, The",GMB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,24.3943194245506,..,..,..,..,..,35.3688298120328
Georgia,GEO,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,37.3425743660221,..,..,..,..,..,32.9693500772457
Germany,DEU,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,128.023115714496,..,..,..,..,..,112.666939413616
Ghana,GHA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,30.059673856326,..,..,..,..,..,45.3616281640442
Greece,GRC,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,122.932611936192,..,..,..,..,..,95.1673459446408
Grenada,GRD,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,73.0903896267671,..,..,..,..,..,72.2223584248899
Guam,GUM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Guatemala,GTM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,55.2588200245808,..,..,..,..,..,..
Guinea,GIN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,28.6149606568423,..,..,..,..,..,47.2142593939786
Guinea-Bissau,GNB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,37.3478092676437,..,..,..,..,..,38.5655294656596
Guyana,GUY,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,57.2140603380539
Haiti,HTI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,43.7914474872661,..,..,..,..,..,55.2252776029651
Honduras,HND,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,66.3013121937649,..,..,..,..,..,79.3631045816062
"Hong Kong SAR, China",HKG,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,95.3576021699967,..,..,..,..,..,138.08969127127
Hungary,HUN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,50.7287848062334,..,..,..,..,..,52.5928447316988
Iceland,ISL,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,149.268463965613,..,..,..,..,..,228.539467504596
India,IND,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,17.862229903047,..,..,..,..,..,24.6189133611592
Indonesia,IDN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,42.6992721303209,..,..,..,..,..,34.0538093342838
"Iran, Islamic Rep.",IRN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,27.6721273286295,..,..,..,..,..,35.5860682610494
Iraq,IRQ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,45.5374294089286,..,..,..,..,..,60.8938032359841
Ireland,IRL,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,199.535829530598,..,..,..,..,..,177.695647341017
Israel,ISR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,136.607052211596,..,..,..,..,..,186.295265195336
Italy,ITA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,143.474266280665,..,..,..,..,..,135.985225284806
Jamaica,JAM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,74.0110312890901,..,..,..,..,..,46.6665731009105
Japan,JPN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,152.236608275223,..,..,..,..,..,122.844372767394
Jordan,JOR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,36.3415625253316,..,..,..,..,..,49.8431548025059
Kazakhstan,KAZ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,38.6449789067684,..,..,..,..,..,30.5512638178703
Kenya,KEN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,32.1037532118735,..,..,..,..,..,41.1543086699807
Kiribati,KIR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,68.9965139573758,..,..,..,..,..,78.791350386935
Kosovo,KSV,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Kuwait,KWT,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,115.265608183285,..,..,..,..,..,97.4313724630838
Kyrgyzstan,KGZ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,25.7360265476118,..,..,..,..,..,29.1268261667194
Lao PDR,LAO,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,21.9149447971563,..,..,..,..,..,22.2981083182891
Latin America & Caribbean (ICP),LCB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,77.7050438781647,..,..,..,..,..,83.3185380938617
Latvia,LVA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,58.7079231093644,..,..,..,..,..,51.2642905278616
Lebanon,LBN,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Lesotho,LSO,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,45.2143315763911,..,..,..,..,..,58.7260027730059
Liberia,LBR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,38.1443205946834,..,..,..,..,..,39.8189278790261
Libya,LBY,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Lithuania,LTU,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,53.5493475152854,..,..,..,..,..,49.1647215294222
Luxembourg,LUX,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,223.69044073931,..,..,..,..,..,164.275002369942
"Macao SAR, China",MAC,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,72.7280291849806,..,..,..,..,..,..
Madagascar,MDG,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,21.7847621208111,..,..,..,..,..,35.814588313505
Malawi,MWI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,31.7863953625211,..,..,..,..,..,44.0568390854763
Malaysia,MYS,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,47.8824901479446,..,..,..,..,..,51.604785541701
Maldives,MDV,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,40.1137038609657,..,..,..,..,..,49.2792728476379
Mali,MLI,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,33.9529159538731,..,..,..,..,..,48.9518403853817
Malta,MLT,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,105.786948989227,..,..,..,..,..,91.8798252921279
Marshall Islands,MHL,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Mauritania,MRT,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,35.5665901965221,..,..,..,..,..,42.929107042464
Mauritius,MUS,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,51.3726180848347,..,..,..,..,..,68.4819158326665
Mexico,MEX,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,77.3965934692909,..,..,..,..,..,77.4979048385095
"Micronesia, Federated States of",FSM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Middle East & North Africa (ICP),MEB,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,41.976212373386,..,..,..,..,..,48.7926501120495
Moldova,MDA,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,33.2698166085026,..,..,..,..,..,31.231536732638
Mongolia,MNG,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,19.1778132759563,..,..,..,..,..,24.9506549801149
Montenegro,MNE,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,42.5321854601147,..,..,..,..,..,37.6790090309794
Montserrat,MSR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,73.8711716923753,..,..,..,..,..,102.06347658687
Morocco,MAR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,55.9430515166801,..,..,..,..,..,61.0265168079538
Mozambique,MOZ,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,54.9898550044687,..,..,..,..,..,43.1778091275392
Myanmar,MMR,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,17.7412872142131,..,..,..,..,..,22.1754822289492
Namibia,NAM,Price level index (World = 100),PX.WL,9080000:ACTUAL HEALTH,9080000,60.9075559289933,..,..,..,..,..,69.5922894839044
